player,club,games_played,games_started,minutes,substitutions,goals,pass_pct,assists,conversion_pct,shots_on_target,key_passes,xg,fouls_committed,fouls_suffered,offsides,yellow_cards,red_cards
M. Yoshida,LA,11,6,549,5,1,91,0,6,3,0,0.73,4,3,0,0,0
N. Norris,DAL,12,10,899,2,1,78,1,2,2,1,0.25,19,5,1,4,0
A. Piol,RSL,2,2,166,0,1,70,0,4,2,0,1.27,1,0,0,0,0
I. Vassilev,PHI,14,12,958,2,1,79,0,11,4,9,1.67,9,9,1,1,0
E. Echenique,CIN,13,8,775,5,1,73,5,14,5,20,1.39,10,8,2,1,0
D. Edelman,STL,13,12,1074,1,1,88,3,7,1,14,0.51,5,18,1,1,0
R. Santos,STL,12,10,880,2,1,77,1,13,7,15,0.91,11,6,0,1,0
J. Sang-bin,STL,8,5,307,3,1,78,1,4,1,4,1.11,2,5,1,0,0
M. dos Santos,MIA,14,14,1260,0,1,94,0,7,2,1,0.58,17,7,0,4,0
C. McVey,SD,13,12,1054,1,1,92,2,6,2,3,0.95,12,1,0,4,0
M. Nascimento,LA,8,0,143,8,1,77,0,5,4,2,1.21,0,2,2,0,0
J. Sery Larsen,PHI,10,9,732,1,1,77,0,2,2,1,0.28,22,12,0,4,1
A. Westwood,CLT,14,13,1205,1,1,87,5,7,3,16,0.85,5,15,0,6,0
M. González,MIN,6,0,70,6,1,90,0,4,3,0,0.74,1,0,0,0,0
E. Sviatchenko,HOU,8,7,586,1,1,81,0,3,1,2,0.38,11,2,0,2,0
I. Fray,MIA,11,9,665,2,1,84,2,6,3,7,1.76,15,17,1,4,0
E. Löwen,STL,7,3,259,4,1,89,1,8,2,3,0.5,5,5,0,0,0
T. Tillman,LAFC,14,10,925,4,1,87,3,9,2,16,1.12,13,34,3,3,0
I. Gómez,ORL,2,0,13,2,1,73,0,1,1,0,0.18,2,0,0,1,0
T. Jacob,ATL,12,12,1031,0,1,82,0,6,1,10,0.69,17,14,2,4,0
K. Smith,CIN,11,7,653,4,1,86,1,4,2,1,0.87,5,1,0,1,1
L. Campana,NE,2,1,110,1,1,79,0,2,1,0,0.33,0,0,0,0,0
J. Neeley,CLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C. Oliveira,NE,1,0,5,1,0,67,0,0,0,0,0,1,0,0,0,0
M. Duah,SD,14,14,1202,0,0,94,0,3,0,2,0.26,9,11,1,1,1
D. Ruíz,MIA,4,2,152,2,0,89,0,1,0,3,0.18,8,1,0,1,0
T. Lepley,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. Dotson,SEA,10,7,566,3,0,88,1,4,0,3,0.14,8,9,0,3,0
Y. Gómez Andrade,SEA,3,3,172,0,0,86,0,4,1,0,0.3,2,1,0,0,0
J. Rodríguez,MIN,6,2,194,4,0,88,2,9,3,16,0.2,2,3,1,0,0
F. Negri,HOU,5,4,291,1,0,85,0,2,0,1,0.06,2,1,0,1,0
J. Ragen,SEA,12,11,1058,1,0,92,1,11,2,5,1.41,6,3,0,3,0
N. Crockford,SJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Eisner,SD,4,0,109,4,0,90,0,1,0,0,0.18,2,4,0,0,0
C. Cappis,DAL,15,9,836,6,0,82,1,7,1,12,0.52,11,10,1,3,0
M. Yamane,LA,13,9,726,4,0,85,1,3,2,12,0.62,9,2,0,1,0
J. Reid,SKC,10,10,891,0,0,80,0,7,3,3,0.35,12,10,0,1,0
G. Minoungou,COL,9,6,597,3,0,70,2,9,1,8,1.43,7,19,2,1,0
K. Thompson,TOR,2,2,135,0,0,79,0,0,0,0,0,1,2,0,0,0
L. Moisa,RSL,3,3,178,0,0,89,1,1,0,2,0.04,1,1,0,1,0
J. Ricketts,SJ,13,11,868,2,0,82,3,6,1,12,0.76,17,29,3,1,0
J. Da,NE,1,0,8,1,0,50,0,0,0,0,0,0,0,0,0,0
B. Anunga,CIN,8,4,385,4,0,91,0,0,0,0,0,5,8,0,1,0
S. Moore,DAL,15,14,1296,1,0,84,1,5,2,4,0.37,19,14,2,2,0
T. Beason,NE,5,0,55,5,0,75,1,0,0,0,0,0,1,0,0,0
A. Riquelme,RSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K. Trewin,NYC,15,14,1256,1,0,89,2,8,3,6,0.44,14,8,0,3,0
d. duplicated González,SJ,1,0,7,1,0,63,0,0,0,0,0,0,1,0,0,0
G. Turner,DC,3,0,43,3,0,82,0,1,0,1,0.04,0,0,0,0,0
K. Nielsen,LAFC,3,2,146,1,0,89,0,0,0,1,0,3,1,0,1,0
P. Ruiz,RSL,4,0,52,4,0,70,0,2,1,4,0.08,1,0,0,0,0
M. Amundsen,CLB,11,11,945,0,0,89,1,3,0,4,0.12,6,4,0,2,0
C. Welsh,STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Korzeniowski,PHI,6,1,136,5,0,83,1,7,2,1,0.77,3,5,0,0,0
S. Gregersen,ATL,9,8,724,1,0,92,1,1,1,2,0.21,9,6,1,3,0
O. Makhanya,PHI,13,13,1169,0,0,82,0,7,1,5,0.64,14,3,2,5,0
R. Baker-Whiting,NSH,10,4,399,6,0,85,0,1,0,2,0.13,3,1,0,1,0
A. Beaudry,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Duke,SD,4,1,75,3,0,79,0,1,1,1,0.02,3,0,0,1,0
S. Morales,MIA,1,1,73,0,0,87,0,0,0,3,0,0,3,0,0,0
R. Ramos Jr.,LA,3,1,97,2,0,75,0,0,0,1,0,1,1,0,1,0
K. LeBlanc,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O. Gene,MIN,14,8,698,6,0,91,2,3,0,5,0.11,6,4,0,1,0
A. Thomas,SEA,13,13,1170,0,0,71,0,0,0,0,0,0,2,0,0,0
D. Bugaj,MTL,10,8,704,2,0,74,0,9,3,2,0.41,11,7,0,1,0
K. O'Toole,NYC,10,10,900,0,0,89,1,4,3,3,0.3,6,4,3,0,0
C. Wallem,STL,12,12,1053,0,0,83,1,13,0,14,1.22,24,11,2,2,0
D. Judelson,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. McCarthy,RBNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O. Valencia,RBNY,9,1,279,8,0,77,0,2,2,2,0.05,9,5,0,3,0
G. Berggren,RBNY,10,3,307,7,0,86,1,8,0,4,1.02,8,4,0,0,1
C. Adams,CLB,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T. Avilés,MTL,4,3,221,1,0,82,0,1,0,0,0.06,4,1,0,0,1
J. Yueill,NE,7,1,128,6,0,90,0,1,1,1,0.05,4,1,0,0,0
O. Nwobodo,CIN,10,4,372,6,0,78,1,6,1,0,0.63,16,2,1,3,0
L. Mackenzie,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C. Pompeu,STL,3,1,113,2,0,74,0,4,2,1,0.16,0,2,0,0,0
P. Amador,ATL,7,2,238,5,0,89,1,3,0,5,0.15,4,4,0,0,0
W. Cleary,CLT,2,1,105,1,0,87,1,0,0,1,0,0,0,0,0,0
S. Jimenez,CIN,1,0,2,1,0,100,0,0,0,0,0,2,0,0,0,0
P. Plambeck,MIA,3,0,40,3,0,90,0,1,1,0,0.04,0,0,0,0,0
J. Cohen,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Muse,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Wolff,RSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. Leão,ORL,1,0,6,1,0,50,0,0,0,0,0,0,2,0,0,0
M. Evans,LAFC,1,1,56,0,0,88,1,2,1,1,0.12,1,0,0,1,0
S. Santos,ATL,3,0,32,3,0,71,0,4,1,0,0.56,0,1,0,0,0
M. Arana,HOU,1,0,2,1,0,100,0,0,0,0,0,0,0,0,0,0
J. Bungi,RBNY,2,1,90,1,0,65,0,1,0,0,0.03,3,0,0,1,0
J. Nelson,LA,13,7,795,6,0,84,0,0,0,0,0,1,4,0,0,0
L. Engel,RSL,8,8,662,0,0,83,0,6,0,1,0.63,2,2,2,0,0
N. Cobb,COL,7,2,288,5,0,90,0,0,0,1,0,5,1,0,2,0
N. Cavallo,NYC,6,5,447,1,0,86,1,0,0,2,0,3,2,0,1,0
E. Báez,ATL,12,12,1044,0,0,81,3,12,4,11,0.73,8,8,1,3,0
M. Perez,STL,7,3,228,4,0,85,0,3,1,3,0.18,4,1,1,2,0
S. Moreira,CLB,14,13,1135,1,0,91,3,9,2,9,0.29,9,4,0,1,0
D. Yedlin,RSL,9,8,671,1,0,89,2,3,0,6,0.34,17,3,0,4,0
J. Che,RBNY,8,6,553,2,0,87,0,3,1,3,0.61,4,4,0,2,0
J. Hibbert,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Rick,PHI,1,1,90,0,0,78,0,0,0,0,0,1,0,0,1,0
M. Edwards,ATL,7,2,249,5,0,84,1,1,0,4,0.03,5,2,0,1,0
L. Barroso,CHI,7,7,545,0,0,76,0,5,2,5,0.22,6,1,0,1,0
T. Smalls,CLT,6,0,57,6,0,89,0,0,0,0,0,3,2,0,0,0
A. Bossenberry,TOR,2,0,32,2,0,72,0,0,0,0,0,1,2,0,0,0
A. O'Neill,NYC,11,11,908,0,0,90,3,6,1,5,0.44,18,11,0,2,0
C. Abadia-Reda,MIA,3,0,37,3,0,95,0,0,0,1,0,2,0,0,0,0
R. Vieira,SJ,13,12,1047,1,0,85,1,18,4,8,1.06,23,12,0,4,0
J. Gressel,MIN,3,0,50,3,0,82,0,0,0,1,0,2,0,0,1,0
J. Dean,CHI,11,9,780,2,0,84,0,1,0,9,0.19,8,7,0,1,1
R. Hernández,ATL,2,2,151,0,0,75,0,1,0,2,0.01,9,2,0,1,0
D. Poreba,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Kuscevic,TOR,6,6,470,0,0,88,0,4,2,0,0.21,7,3,0,2,0
A. Julio,DAL,2,0,27,2,0,0,0,1,1,0,0.04,1,0,0,0,0
L. Hoyos,ATL,14,14,1260,0,0,76,0,0,0,0,0,1,4,0,3,0
D. Borges,SKC,3,2,205,1,0,82,0,1,0,0,0.12,2,0,0,1,0
P. Kingston,SEA,9,2,240,7,0,86,0,5,2,2,0.27,10,1,0,3,0
M. Fall,STL,3,0,33,3,0,83,0,0,0,0,0,1,0,0,1,0
N. Miller,ORL,5,4,329,1,0,92,0,1,0,0,0.14,1,1,0,2,0
M. Almirón,ATL,8,7,658,1,0,80,3,18,4,12,1.85,3,13,6,0,0
D. McIntosh,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Katranis,RSL,5,4,334,1,0,77,1,3,2,3,0.23,8,4,2,1,0
M. Falcón,MIA,9,9,810,0,0,93,0,4,0,2,0.78,8,9,0,2,0
H. Johansson,DAL,14,11,999,3,0,81,2,3,2,15,0.33,24,7,1,2,0
J. Neal,MTL,6,5,407,1,0,88,0,1,0,0,0.04,9,1,0,1,0
T. Reid-Brown,ORL,7,2,222,5,0,81,0,0,0,0,0,3,4,0,1,0
D. Pereira,ATX,8,4,365,4,0,92,1,3,1,3,0.11,7,11,0,1,0
R. Bürki,STL,13,13,1170,0,0,77,1,0,0,0,0,0,4,0,1,0
S. Cleveland,SKC,5,5,450,0,0,73,0,0,0,0,0,0,0,0,0,0
M. Dos Santos,RBNY,14,13,937,1,0,78,1,4,0,9,0.19,13,3,0,1,0
N. Markovic,DC,11,2,311,9,0,74,1,3,0,2,0.09,12,8,0,1,0
A. Farrell,NE,1,1,90,0,0,90,0,0,0,0,0,0,1,0,0,0
F. Mrozek,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Mbokazi,CHI,12,12,1049,0,0,86,0,6,3,1,0.99,4,10,1,2,0
Ž. Kolmanič,ATX,7,2,259,5,0,85,0,0,0,5,0,0,0,0,0,0
K. Cabrera,VAN,9,2,309,7,0,83,3,2,0,4,0.03,2,6,1,2,0
E. Garces,LA,10,8,707,2,0,91,2,1,0,3,0.03,14,6,0,2,0
T. Brown,CLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Jones,SJ,5,5,362,0,0,84,0,1,1,3,0.2,5,4,0,2,0
A. Shaw,MIA,2,0,23,2,0,83,0,0,0,0,0,1,0,0,0,0
J. Glad,RSL,12,12,1051,0,0,93,3,4,2,2,0.38,8,5,1,0,0
N. Micovic,LA,4,4,360,0,0,73,0,0,0,0,0,0,1,0,0,0
A. Sejdić,CLB,7,1,181,6,0,89,0,3,2,3,0.12,4,0,0,0,0
F. Westfield,PHI,11,11,893,0,0,64,3,14,2,15,0.74,7,22,0,1,0
L. Rodrigues dos Santos,RSL,1,0,30,1,0,58,0,0,0,0,0,0,1,0,0,0
G. Marks,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Simmonds,DAL,4,1,105,3,0,88,0,2,2,2,0.18,3,1,1,1,0
J. Sandmeyer,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. Mihaj,ATL,13,12,1060,1,0,88,0,3,2,1,0.17,13,4,0,3,0
E. Dymora,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Taylor,MIN,4,1,116,3,0,79,0,1,0,2,0.03,5,0,0,1,0
R. Edwards,TOR,12,9,741,3,0,76,0,3,1,4,0.17,16,11,0,3,1
T. Ku-Dipietro,COL,4,0,91,4,0,85,1,3,1,1,0.3,0,3,0,0,0
I. Murphy,COL,1,0,6,1,0,100,0,0,0,0,0,0,0,0,0,0
L. Halter,HOU,3,3,250,0,0,86,0,2,0,2,0.17,4,2,0,1,0
S. Gidi,CIN,14,12,1048,2,0,86,4,1,0,8,0.08,8,18,0,2,0
T. Miller,CLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Crépeau,ORL,14,14,1186,0,0,74,0,0,0,0,0,2,3,0,2,1
O. Søe,SD,6,5,420,1,0,92,0,3,0,0,0.41,8,0,0,1,0
A. Bouzat,HOU,12,6,604,6,0,88,0,10,2,4,0.43,12,5,0,1,1
O. Wolff,ATX,5,2,195,3,0,91,1,0,0,2,0,3,7,0,0,0
T. Johnson,VAN,12,11,972,1,0,89,1,2,0,14,0.03,13,17,1,1,0
C. Brady,CHI,14,14,1260,0,0,77,0,0,0,0,0,2,4,0,0,0
N. Gomis,TOR,2,1,77,1,0,95,0,1,0,0,0.04,0,0,0,0,0
J. Badwal,VAN,13,10,892,3,0,93,1,9,4,12,2.16,11,31,0,1,0
N. Tafari,LAFC,15,13,1223,2,0,92,1,8,1,4,0.48,7,4,2,2,0
A. Saidi,SD,2,0,20,2,0,100,2,1,1,1,0.05,0,1,0,0,0
J. Marcinkowski,LA,11,11,990,0,0,70,1,0,0,0,0,0,1,0,2,0
G. Rivera,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Dieng,MIN,13,2,222,11,0,76,0,9,4,2,1.36,3,4,4,0,0
J. Waterman,CHI,10,6,644,4,0,88,0,1,0,4,0.21,6,6,0,2,0
D. Sealy,COL,14,10,778,4,0,80,4,18,4,13,1.82,13,15,1,1,0
J. Pulskamp,SKC,9,9,810,0,0,68,0,0,0,0,0,0,2,0,0,0
K. Kahlina,CLT,15,15,1350,0,0,82,0,0,0,0,0,0,1,0,2,0
J. Glesnes,LA,9,9,765,0,0,88,0,3,0,0,0.28,6,3,2,3,0
E. Cerrillo,LA,14,12,1120,2,0,92,1,7,4,8,0.29,8,12,0,4,0
R. Elloumi,VAN,10,0,75,10,0,75,0,2,2,1,0.53,6,5,0,0,0
J. Ortiz,POR,8,4,434,4,0,93,2,5,1,3,0.26,3,9,0,0,0
J. Maurer,HOU,1,0,45,1,0,46,0,0,0,0,0,0,0,0,1,0
T. Corbeanu,TOR,1,0,16,1,0,100,0,0,0,0,0,1,0,0,1,0
K. Henry,RSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R. Raposo,LAFC,7,3,323,4,0,89,0,7,0,5,0.52,6,8,0,2,0
J. Ortiz,SKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Trapp,MIN,14,8,798,6,0,91,1,0,0,6,0,10,4,0,2,0
N. Byrne,CLT,14,14,1245,0,0,84,0,3,0,3,0.17,4,14,0,2,0
I. da Silva Nogueira,ORL,13,11,1006,2,0,92,0,12,4,2,0.94,12,6,1,4,0
R. Mesalles,RSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Fry,NE,4,0,43,4,0,81,0,1,0,0,0.04,1,0,0,0,0
J. Sirois,DAL,2,2,180,0,0,54,0,0,0,0,0,0,1,0,0,0
W. Kumado,SD,2,0,22,2,0,93,0,0,0,4,0,0,0,0,0,0
M. Galarza,ATL,10,8,666,2,0,82,1,18,4,10,1.48,17,15,0,2,0
F. Sundstrom,PHI,2,1,52,1,0,60,0,0,0,0,0,1,0,0,0,0
J. Bazan,RBNY,1,0,10,1,0,67,0,0,0,0,0,1,0,0,0,0
P. Dithejane,CHI,8,1,166,7,0,80,0,8,3,5,0.51,3,4,0,1,0
J. Thiaré,CLB,9,0,132,9,0,84,0,2,0,3,0.48,4,4,0,1,0
E. Louro,CIN,2,2,180,0,0,66,0,0,0,0,0,0,0,0,0,0
C. Guske,ORL,6,2,284,4,0,84,0,1,0,1,0.02,6,8,0,1,0
M. Anchor,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Gal,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Romero,MIN,9,8,643,1,0,88,0,4,1,2,0.21,7,7,2,2,0
R. Cabral,RSL,14,14,1260,0,0,79,1,0,0,0,0,0,0,0,0,0
S. Frei,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Henry,TOR,11,5,487,6,0,76,0,6,2,3,0.51,6,4,4,3,0
J. Vilsaint,TOR,2,0,24,2,0,100,0,0,0,0,0,0,0,2,0,0
L. Abubakar,DAL,1,1,54,0,0,90,0,0,0,0,0,3,0,0,1,0
L. Costabile,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Farr,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Olivas,PHI,1,0,7,1,0,67,0,0,0,0,0,0,0,0,0,0
K. Agyabeng,SKC,7,2,291,5,0,86,0,0,0,1,0,9,8,0,0,0
R. Benetti,DAL,14,12,994,2,0,83,2,8,1,7,0.44,9,6,0,2,0
L. Petrasso,MTL,12,12,1075,0,0,84,2,6,2,17,0.37,3,5,2,0,0
R. Binyamin,DAL,13,5,446,8,0,81,2,5,2,6,0.77,8,9,1,1,0
N. Markanich,HOU,6,1,90,5,0,82,0,3,0,1,0.56,2,1,2,0,1
K. Miller,POR,10,7,560,3,0,90,0,0,0,1,0,9,6,0,2,1
E. Torres,ATX,2,0,24,2,0,73,0,1,1,0,0.06,0,1,0,0,0
L. MacNaughton,STL,11,4,468,7,0,87,1,4,1,2,0.25,10,1,0,0,0
S. Oregel,CHI,3,0,26,3,0,96,0,0,0,1,0,2,2,0,0,0
J. Bauer,NSH,9,3,285,6,0,79,1,1,0,2,0.08,3,2,0,1,0
P. Schulte,CLB,15,15,1350,0,0,82,0,0,0,0,0,0,0,0,0,0
J. Otero,ORL,2,1,161,1,0,47,0,0,0,0,0,0,3,0,0,0
Z. Bassong,SKC,5,3,239,2,0,83,1,6,1,6,0.21,10,0,0,2,0
W. Cartagena,ORL,4,1,42,3,0,89,0,0,0,0,0,4,3,0,1,0
E. Edwards Jr.,SJ,1,1,24,0,0,78,0,0,0,0,0,0,0,0,1,0
D. Diani,CLT,14,8,657,6,0,93,1,6,0,4,1,14,7,0,3,0
A. Lajhar,CIN,4,0,19,4,0,77,0,0,0,0,0,1,0,0,1,0
S. Brunell,SEA,13,8,775,5,0,85,1,13,6,9,0.89,12,5,0,2,0
A. Smir,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. Sarajian,ORL,2,0,12,2,0,78,0,0,0,0,0,1,0,0,0,0
F. Amaya,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Herrera,CLB,13,9,856,4,0,83,1,12,5,5,0.9,9,6,5,2,0
M. Zambrano,NE,2,0,23,2,0,100,0,0,0,0,0,1,0,0,0,0
A. Mighten,SD,9,3,362,6,0,91,2,4,2,7,0.37,5,6,1,1,0
O. Verhoeven,SD,14,9,910,5,0,88,2,2,0,7,0.45,13,9,2,3,0
N. Caliskan,RSL,14,13,1185,1,0,89,3,10,3,13,0.39,8,16,0,3,0
K. Chandler,MIN,1,0,9,1,0,83,0,0,0,0,0,0,0,0,0,0
G. Flores,CIN,7,4,302,3,0,84,0,1,0,0,0.03,8,1,0,1,0
M. Farsi,CLB,6,2,206,4,0,87,2,4,2,2,0.41,1,4,0,0,0
D. Fitz,MIN,1,0,7,1,0,60,0,0,0,0,0,2,0,0,0,0
S. Breza,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Johnson,SJ,1,0,27,1,0,50,0,2,1,0,0.14,0,1,0,0,0
C. Tschantret,SKC,1,1,51,0,0,90,0,0,0,0,0,2,0,0,0,0
A. Lopez,SEA,7,5,473,2,0,94,0,2,0,4,0.05,4,5,0,1,0
J. Marshall-Rutty,RBNY,14,13,1112,1,0,89,2,11,3,7,0.49,10,7,1,2,0
W. Pacius,NSH,11,3,237,8,0,69,0,7,0,2,0.76,10,2,0,1,0
J. Artur,HOU,7,5,427,2,0,91,1,3,2,2,0.07,4,1,0,1,0
R. Veselinović,VAN,2,0,19,2,0,56,0,0,0,0,0,0,0,0,0,0
J. Torquato,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Floriani,SJ,2,2,160,0,0,85,0,0,0,0,0,1,5,0,0,0
B. Craig,MTL,5,2,298,3,0,84,0,4,1,0,0.3,2,2,0,2,0
H. Lloris,LAFC,12,12,1080,0,0,59,0,0,0,2,0,0,1,0,0,0
M. Cimermancic,TOR,2,2,141,0,0,90,1,1,0,1,0.03,6,0,1,0,0
F. Montali,SJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Borso,CHI,4,0,74,4,0,79,0,3,1,0,0.25,3,3,0,1,0
N. Buck,SJ,1,1,64,0,0,89,0,0,0,0,0,0,0,0,0,0
B. Bye,POR,14,13,1186,1,0,77,1,10,3,12,0.77,11,3,1,2,0
E. Horvath,RBNY,15,15,1350,0,0,72,1,0,0,0,0,0,0,0,0,0
D. Holmes,HOU,8,7,519,1,0,85,0,4,1,4,0.32,5,10,0,2,0
J. Travis,COL,13,11,804,2,0,89,1,2,1,3,0.1,8,15,0,2,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,7,0,2,0
C. Mueller,CHI,5,1,93,4,0,74,0,1,1,2,0.2,2,0,2,1,0
M. Carrizo,NYC,3,0,32,3,0,96,0,1,0,1,0.03,1,0,0,0,0
T. Himes,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O. Escobar,MTL,12,4,288,8,0,75,0,7,2,5,0.43,5,4,0,2,0
J. Nolan,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K. Stewart-Baynes,COL,1,0,9,1,0,100,0,0,0,0,0,0,0,0,0,0
H. Kijima,DC,3,1,58,2,0,67,0,1,1,1,0.06,0,1,0,0,0
A. Herrera,DC,7,4,385,3,0,73,0,7,1,3,0.41,5,4,0,1,0
J. Mina,RBNY,5,1,182,4,0,89,0,4,2,1,0.43,4,8,0,0,0
C. Teuchert,STL,10,4,299,6,0,74,1,12,6,12,1.4,4,7,2,0,0
J. Valiente,DAL,14,9,862,5,0,80,4,11,3,20,0.9,5,3,4,0,0
D. Polvara,STL,14,14,1186,0,0,89,0,8,0,3,0.63,14,14,1,3,0
J. Maher,NSH,4,4,360,0,0,93,0,3,1,0,0.26,2,1,0,1,0
M. Joyner,STL,3,0,29,3,0,82,0,1,0,1,0.03,0,0,1,0,0
Z. Monlouis,TOR,12,8,791,4,0,87,0,6,3,1,0.33,4,3,0,1,0
O. Mbaizo,PHI,1,0,59,1,0,79,0,0,0,0,0,0,0,0,0,0
Z. Steffen,COL,9,9,810,0,0,90,0,0,0,0,0,0,0,0,0,0
A. Privett,CLT,8,6,569,2,0,90,0,2,1,2,0.18,4,2,0,2,0
